credible	capable of being believed	believable
extirpation	the act of pulling up or out	No Description
tardy	after the expected or usual time	slow, late, overdue, delayed
nuzzle	rub noses	cuddle, snuggle
abrasive	causing irritation	It can also mean rough.
hypochondriac	a patient with imaginary symptoms and ailments	No Description
jaded	exhausted	No Description
nuance	a subtle difference in meaning or opinion or attitude	No Description
roam	move about aimlessly or without any destination, often in search of food or employment	No Description
despondent	without or almost without hope	disappointment
encomium	a formal expression of praise	No Description
drivel	a worthless message	nonsense
lax	without rigor or strictness	No Description
overt	open and observable; not secret or hidden	No Description
creditable	worthy of often limited commendation	praiseworthy
effrontery	audacious behavior that you have no right to	audacity, daring
ramble	move about aimlessly or without any destination	or, talk on and on and on...
intermittent	stopping and starting at irregular intervals	sporadic
quandary	state of uncertainty in a choice between unfavorable options	dilemma, waver
rife	excessively abundant	No Description
contumacious	willfully obstinate; stubbornly disobedient	No Description
meander	to move or cause to move in a sinuous or circular course	wander aimlessly, curve of a river, speak slow that gets boring
